date,description,reference,counterparty,amount,currency
2026-08-03,Incoming wire - customer payment,SO-5001,Acme Corp,48250.00,USD
2026-08-04,ACH credit,SO-5002,Globex LLC,15900.50,USD
2026-08-05,Vendor payment,PO-8001,CloudHost Ltd,-12000.00,USD
2026-08-06,Office supplies,PO-8002,OfficeSupplies Co,-3400.75,USD
2026-08-07,Customer payment,SO-5003,Initech,31000.00,USD
2026-08-10,Vendor payment,PO-8003,Logistics Plus,-18250.00,USD
2026-08-11,Vendor payment,PO-8004,SteelWorks,-56000.00,USD
2026-08-11,Vendor payment,PO-8004,SteelWorks,-56000.00,USD
2026-08-12,Incoming wire,,Unknown Sender LLC,75000.00,USD
2026-08-13,Customer payment,SO-5004,Umbrella Inc,9750.00,USD
2026-08-14,Bank fees,,First National Bank,-125.00,USD
2026-08-17,Vendor payment,PO-8005,DataVendor,-8000.00,USD
2026-08-18,Customer payment,SO-5005,Wayne Enterprises,120000.00,USD
2026-08-19,Payroll run,PAYROLL-0819,ADP Payroll,-85000.00,USD
2026-08-20,Vendor payment,,MysteryVendor Ltd,-42000.00,USD
2026-08-21,Interest earned,,First National Bank,85.20,USD
